"","Date","SPX","VIX","DXY","e","v","d"
"1",2019-08-28 09:35:00,2857.67,21.43,83.67,0.000563554820620205,-0.000466526717115556,0
"2",2019-08-28 09:40:00,2862.27,21.25,83.69,0.00160840882655222,-0.00843491411505992,0.0002390057372752
"3",2019-08-28 09:45:00,2863.92,20.98,83.7,0.000576299440174566,-0.0127872924022747,0.000119481450647108
"4",2019-08-28 09:50:00,2867.58,20.62,83.7,0.00127715275145857,-0.0173081243793374,0
"5",2019-08-28 09:55:00,2870.68,20.47,83.69,0.00108046700622833,-0.00730107891561582,-0.000119481450647108
"6",2019-08-28 10:00:00,2870.4,20.48,83.71,-9.75426227194376e-05,0.000488400498109165,0.000238948627182545
"7",2019-08-28 10:05:00,2874.68,20.19,83.72,0.00148997082435898,-0.0142613678465611,0.000119452905834372
"8",2019-08-28 10:10:00,2871.84,20.34,83.71,-0.000988424379004371,0.00740195829566792,-0.000119452905834372
"9",2019-08-28 10:15:00,2869.99,20.42,83.7,-0.000644393882792471,0.0039254221161058,-0.000119467176535437
"10",2019-08-28 10:20:00,2870.21,20.47,83.7,7.66523814874631e-05,0.00244558693667818,0
"11",2019-08-28 10:25:00,2870.08,20.51,83.7,-4.52938788884083e-05,0.00195217241109136,0
"12",2019-08-28 10:30:00,2871.99,20.34,83.7,0.000665265338263943,-0.00832318146387534,0
"13",2019-08-28 10:35:00,2874.29,20.24,83.66,0.000800517943026158,-0.00492854620114924,-0.000478011481376939
"14",2019-08-28 10:40:00,2879.63,20.01,83.69,0.00185612644357835,-0.0114286958236227,0.000358530030729831
"15",2019-08-28 10:45:00,2878.54,20.1,83.67,-0.000378592508737619,0.00448766646938825,-0.0002390057372752
"16",2019-08-28 10:50:00,2880.95,19.99,83.69,0.000836879703117965,-0.00548766655272148,0.0002390057372752
"17",2019-08-28 10:55:00,2878.86,20.13,83.71,-0.000725718414922305,0.00697909113939144,0.000238948627182545
"18",2019-08-28 11:00:00,2876.97,20.2,83.7,-0.000656725465459473,0.00347136475545895,-0.000119467176535437
"19",2019-08-28 11:05:00,2876.99,20.17,83.7,6.95173411013883e-06,-0.00148625244103862,0
"20",2019-08-28 11:10:00,2877.15,20.07,83.68,5.56121331909409e-05,-0.00497018915787395,-0.000238977178816491
"21",2019-08-28 11:15:00,2877.69,19.98,83.67,0.000187668119908224,-0.0044943895878391,-0.000119510009105817
"22",2019-08-28 11:20:00,2882.17,19.83,83.67,0.00155559367881075,-0.007535830688703,0
"23",2019-08-28 11:25:00,2884.96,19.69,83.65,0.000967552393532856,-0.00708504988067027,-0.000239062874674012
"24",2019-08-28 11:30:00,2883.65,19.76,83.67,-0.000454182211146126,0.0035487996686876,0.000239062874674012
"25",2019-08-28 11:35:00,2884.5,19.65,83.67,0.000294721880032434,-0.00558235400445151,0
"26",2019-08-28 11:40:00,2885.98,19.57,83.68,0.000512955605929122,-0.00407955690728556,0.000119510009105817
"27",2019-08-28 11:45:00,2885.59,19.62,83.67,-0.000135145203330467,0.00255167272923229,-0.000119510009105817
"28",2019-08-28 11:50:00,2887.56,19.52,83.66,0.000682469735400204,-0.00510987315227052,-0.000119524293454631
"29",2019-08-28 11:55:00,2884.67,19.69,83.67,-0.00100134618387759,0.0086713116660877,0.000119524293454631
"30",2019-08-28 12:00:00,2884.78,19.66,83.68,3.81318843265532e-05,-0.00152477793201378,0.000119510009105817
"31",2019-08-28 12:05:00,2884.92,19.61,83.68,4.85293862855229e-05,-0.00254647451076551,0
"32",2019-08-28 12:10:00,2883.32,19.71,83.69,-0.000554761952010985,0.00508648095637376,0.000119495728169383
"33",2019-08-28 12:15:00,2886.29,19.56,83.69,0.00102953241634474,-0.00763945655795739,0
"34",2019-08-28 12:20:00,2885.46,19.59,83.71,-0.000287607746600749,0.00153256734977791,0.000238948627182545
"35",2019-08-28 12:25:00,2883.4,19.72,83.7,-0.000714179261607661,0.00661411721804006,-0.000119467176535437
"36",2019-08-28 12:30:00,2884.43,19.63,83.69,0.000357153387304798,-0.00457434088611963,-0.000119481450647108
"37",2019-08-28 12:35:00,2882.15,19.78,83.69,-0.000790763370596359,0.00761231790619643,0
"38",2019-08-28 12:40:00,2881.63,19.8,83.69,-0.000180437144170043,0.00101061150592363,0
"39",2019-08-28 12:45:00,2882.26,19.75,83.68,0.000218602368368792,-0.00252844635335903,-0.000119495728169383
"40",2019-08-28 12:50:00,2885.26,19.56,83.68,0.00104030857996573,-0.00966682674045938,0
"41",2019-08-28 12:55:00,2886.72,19.45,83.68,0.000505892269598185,-0.00563959454221585,0
"42",2019-08-28 13:00:00,2885.25,19.57,83.69,-0.000509358167760432,0.00615071134352929,0.000119495728169383
"43",2019-08-28 13:05:00,2884.19,19.63,83.68,-0.000367453344493285,0.0030612268803849,-0.000119495728169383
"44",2019-08-28 13:10:00,2880.47,19.86,83.67,-0.00129062269634961,0.0116486503286568,-0.000119510009105817
"45",2019-08-28 13:15:00,2882.27,19.75,83.67,0.000624702852650039,-0.00555416726989577,0
"46",2019-08-28 13:20:00,2883.01,19.64,83.67,0.000256709129152988,-0.0055851884208109,0
"47",2019-08-28 13:25:00,2883.75,19.61,83.68,0.000256643246489219,-0.00152866271806484,0.000119510009105817
"48",2019-08-28 13:30:00,2885.08,19.56,83.67,0.000461098705826224,-0.00255297560158363,-0.000119510009105817
"49",2019-08-28 13:35:00,2885.94,19.46,83.67,0.000298040903121688,-0.00512558784881234,0
"50",2019-08-28 13:40:00,2885.66,19.44,83.66,-9.70268210620517e-05,-0.00102827772556591,-0.000119524293454631
"51",2019-08-28 13:45:00,2886.46,19.37,83.67,0.000277194516095314,-0.0036073216133885,0.000119524293454631
